Name,Exterior,Price
★ StatTrak™ Butterfly Knife | Freehand ,Minimal Wear,1819.1
★ Butterfly Knife | Autotronic ,Battle-Scarred,1805.99
★ StatTrak™ Karambit | Slaughter ,Minimal Wear,1759.61
★ StatTrak™ Talon Knife | Doppler ,Factory New,1746.93
★ Talon Knife | Doppler ,Factory New,1746.93
★ Butterfly Knife | Crimson Web ,Field-Tested,1734.33
★ StatTrak™ Butterfly Knife | Crimson Web ,Field-Tested,1734.33
★ Specialist Gloves | Field Agent ,Minimal Wear,1711.36
★ Sport Gloves | Slingshot ,Field-Tested,1704.95
★ StatTrak™ Butterfly Knife | Night ,Minimal Wear,1703.92
★ M9 Bayonet | Autotronic ,Field-Tested,1683.42
★ StatTrak™ M9 Bayonet | Autotronic ,Field-Tested,1683.42
★ Sport Gloves | Amphibious ,Field-Tested,1676.44
★ StatTrak™ Butterfly Knife | Black Laminate ,Battle-Scarred,1672.97
★ StatTrak™ Skeleton Knife | Slaughter ,Minimal Wear,1661.17
★ Butterfly Knife | Case Hardened ,Minimal Wear,1649.66
★ StatTrak™ Stiletto Knife | Fade ,Factory New,1624.84
★ Hand Wraps | Cobalt Skulls ,Minimal Wear,1623.15
★ StatTrak™ Flip Knife | Fade ,Factory New,1619.26
★ Bayonet | Marble Fade ,Factory New,1585.39
★ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22
★ StatTrak™ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22
★ StatTrak™ Butterfly Knife | Bright Water ,Field-Tested,1513.03
★ StatTrak™ Karambit | Black Laminate ,Field-Tested,1505.72
★ Butterfly Knife | Blue Steel ,Field-Tested,1502.25
★ StatTrak™ Butterfly Knife | Blue Steel ,Field-Tested,1502.25
★ Specialist Gloves | Crimson Web ,Minimal Wear,1493.84
★ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58
★ StatTrak™ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58
★ Sport Gloves | Nocts ,Minimal Wear,1488.07
★ Karambit | Crimson Web ,Field-Tested,1483.43
★ StatTrak™ Karambit | Crimson Web ,Field-Tested,1483.43
★ Talon Knife | Tiger Tooth ,Factory New,1474.92
★ StatTrak™ M9 Bayonet | Slaughter ,Minimal Wear,1464.93
★ Bayonet | Gamma Doppler ,Factory New,1460.75
★ Butterfly Knife | Case Hardened ,Field-Tested,1460.72
★ StatTrak™ Butterfly Knife | Case Hardened ,Field-Tested,1460.72
★ Karambit | Freehand ,Factory New,1456.21
AK-47 | Fire Serpent ,Field-Tested,1455.45
★ Butterfly Knife | Blue Steel ,Battle-Scarred,1449.58
★ StatTrak™ Bayonet,,1440.03
★ Karambit | Case Hardened ,Field-Tested,1433.2
★ StatTrak™ Karambit | Case Hardened ,Field-Tested,1433.2
StatTrak™ AWP | Lightning Strike ,Factory New,1408.05
★ Butterfly Knife | Crimson Web ,Well-Worn,1378.74
★ StatTrak™ Butterfly Knife | Crimson Web ,Well-Worn,1378.74
★ Butterfly Knife | Stained ,Minimal Wear,1354.84
★ Butterfly Knife | Case Hardened ,Well-Worn,1344.95
★ StatTrak™ Butterfly Knife | Case Hardened ,Well-Worn,1344.95
★ Classic Knife | Fade ,Factory New,1337.37
★ StatTrak™ Bayonet | Tiger Tooth ,Factory New,1336.98
★ StatTrak™ M9 Bayonet | Black Laminate ,Minimal Wear,1332.49
★ Butterfly Knife | Case Hardened ,Battle-Scarred,1314.48
★ Karambit | Damascus Steel ,Field-Tested,1313.3
★ StatTrak™ Karambit | Damascus Steel ,Field-Tested,1313.3
★ Sport Gloves | Scarlet Shamagh ,Minimal Wear,1308.14
★ M9 Bayonet | Black Laminate ,Field-Tested,1304.26
★ StatTrak™ M9 Bayonet | Black Laminate ,Field-Tested,1304.26
★ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33
★ StatTrak™ Butterfly Knife | Ultraviolet ,Field-Tested,1303.33
★ StatTrak™ Flip Knife | Lore ,Factory New,1302.07
★ Sport Gloves | Vice ,Battle-Scarred,1292.35
★ Bayonet | Doppler ,Factory New,1280.31
★ StatTrak™ Bayonet | Doppler ,Factory New,1280.31
★ Karambit | Freehand ,Minimal Wear,1278.81
★ StatTrak™ Karambit | Freehand ,Minimal Wear,1278.81
★ Sport Gloves | Omega ,Field-Tested,1273.76
★ Butterfly Knife | Freehand ,Well-Worn,1267.38
★ StatTrak™ Butterfly Knife | Freehand ,Well-Worn,1267.38
★ Skeleton Knife | Case Hardened ,Minimal Wear,1263.94
★ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79
★ StatTrak™ Butterfly Knife | Rust Coat ,Battle-Scarred,1260.79
★ StatTrak™ Skeleton Knife | Stained ,Factory New,1249.76
★ StatTrak™ Nomad Knife | Crimson Web ,Minimal Wear,1249.59
★ Driver Gloves | Black Tie ,Minimal Wear,1244.87
★ Butterfly Knife | Stained ,Field-Tested,1235.94
★ StatTrak™ Butterfly Knife | Stained ,Field-Tested,1235.94
★ Butterfly Knife | Night ,Field-Tested,1234.04
★ StatTrak™ Butterfly Knife | Night ,Field-Tested,1234.04
★ Specialist Gloves | Emerald Web ,Field-Tested,1220.3
★ StatTrak™ Talon Knife | Slaughter ,Minimal Wear,1218.75
★ Sport Gloves | Amphibious ,Well-Worn,1208.89
★ StatTrak™ Flip Knife | Marble Fade ,Factory New,1205.33
★ M9 Bayonet | Crimson Web ,Field-Tested,1183.86
★ StatTrak™ M9 Bayonet | Crimson Web ,Field-Tested,1183.86
★ Driver Gloves | Snow Leopard ,Field-Tested,1182.32
★ Butterfly Knife | Stained ,Well-Worn,1182.01
★ StatTrak™ Bayonet | Slaughter ,Factory New,1177.65
★ StatTrak™ Karambit | Bright Water ,Minimal Wear,1165.6
★ Flip Knife | Gamma Doppler ,Factory New,1148.17
★ StatTrak™ Flip Knife | Gamma Doppler ,Factory New,1148.17
★ StatTrak™ Stiletto Knife | Marble Fade ,Factory New,1146.71
★ Stiletto Knife | Marble Fade ,Factory New,1146.71
★ Specialist Gloves | Tiger Strike ,Field-Tested,1144.28
★ Sport Gloves | Big Game ,Minimal Wear,1141.49
★ StatTrak™ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.9
★ Skeleton Knife | Crimson Web ,Battle-Scarred,1136.84
★ Sport Gloves | Arid ,Field-Tested,1127.2
★ StatTrak™ Karambit | Stained ,Minimal Wear,1124.56
★ StatTrak™ Karambit | Blue Steel ,Field-Tested,1123.75
★ StatTrak™ Karambit | Freehand ,Field-Tested,1117.87
★ StatTrak™ Talon Knife,,1110.07
★ StatTrak™ Stiletto Knife | Doppler ,Factory New,1101.93
★ Stiletto Knife | Doppler ,Factory New,1101.93
★ Butterfly Knife | Night ,Well-Worn,1098.65
★ Butterfly Knife | Boreal Forest ,Field-Tested,1081.99
★ StatTrak™ Butterfly Knife | Boreal Forest ,Field-Tested,1081.99
★ Butterfly Knife | Scorched ,Minimal Wear,1080.68
★ Karambit | Ultraviolet ,Field-Tested,1066.48
★ StatTrak™ Karambit | Ultraviolet ,Field-Tested,1066.48
★ StatTrak™ M9 Bayonet | Damascus Steel ,Minimal Wear,1056.17
★ Talon Knife | Case Hardened ,Minimal Wear,1051.19
★ StatTrak™ Karambit | Blue Steel ,Well-Worn,1049.37
★ StatTrak™ Nomad Knife,,1048.17
★ Butterfly Knife | Forest DDPAT ,Field-Tested,1044.27
★ StatTrak™ Butterfly Knife | Forest DDPAT ,Field-Tested,1044.27
★ Butterfly Knife | Scorched ,Field-Tested,1043.98
★ Butterfly Knife | Urban Masked ,Field-Tested,1027.99
★ StatTrak™ Butterfly Knife | Urban Masked ,Field-Tested,1027.99
★ Skeleton Knife | Case Hardened ,Field-Tested,1026.48
★ Karambit | Bright Water ,Field-Tested,1026.08
★ StatTrak™ Karambit | Bright Water ,Field-Tested,1026.08
★ StatTrak™ Stiletto Knife | Tiger Tooth ,Factory New,1020.38
AWP | Lightning Strike ,Factory New,1018.09
★ Bayonet | Lore ,Field-Tested,1010.23
★ StatTrak™ Bayonet | Lore ,Field-Tested,1010.23
★ Butterfly Knife | Safari Mesh ,Minimal Wear,1008.91
★ StatTrak™ Nomad Knife | Slaughter ,Factory New,1007.95
★ StatTrak™ Stiletto Knife | Slaughter ,Factory New,988.45
★ StatTrak™ Karambit | Night ,Field-Tested,968.9
★ StatTrak™ Butterfly Knife | Safari Mesh ,Field-Tested,959.59
