Name,Exterior,Price,Name,Exterior,Price
★ StatTrak™ Karambit | Lore ,Minimal Wear,2820.0,★ StatTrak™ Karambit | Lore ,Minimal Wear,2820.0
★ Karambit | Marble Fade ,Factory New,2800.0,★ Karambit | Marble Fade ,Blue Face,2800.0
★ StatTrak™ Karambit | Marble Fade ,Factory New,2800.0,★ StatTrak™ Karambit | Marble Fade ,Blue Face,2800.0
★ Driver Gloves | King Snake ,Minimal Wear,2770.0,★ Driver Gloves | King Snake ,Minimal Wear,2770.0
★ StatTrak™ Talon Knife | Fade ,Factory New,2740.0,★ StatTrak™ Talon Knife | Fade ,Blue Face,2740.0
★ Talon Knife | Fade ,Factory New,2740.0,★ Talon Knife | Fade ,Blue Face,2740.0
★ Butterfly Knife | Doppler ,Factory New,2730.0,★ Butterfly Knife | Doppler ,Blue Face,2730.0
★ M9 Bayonet | Marble Fade ,Factory New,2730.0,★ M9 Bayonet | Marble Fade ,Blue Face,2730.0
★ StatTrak™ Butterfly Knife | Doppler ,Factory New,2730.0,★ StatTrak™ Butterfly Knife | Doppler ,Blue Face,2730.0
★ StatTrak™ M9 Bayonet | Marble Fade ,Factory New,2730.0,★ StatTrak™ M9 Bayonet | Marble Fade ,Blue Face,2730.0
★ Specialist Gloves | Tiger Strike ,Minimal Wear,2720.0,★ Specialist Gloves | Tiger Strike ,Minimal Wear,2720.0
★ Sport Gloves | Vice ,Field-Tested,2660.0,★ Sport Gloves | Vice ,Field-Tested,2660.0
★ Butterfly Knife | Slaughter ,Factory New,2650.0,★ Butterfly Knife | Slaughter ,Blue Face,2650.0
★ StatTrak™ Butterfly Knife | Slaughter ,Factory New,2650.0,★ StatTrak™ Butterfly Knife | Slaughter ,Blue Face,2650.0
★ Hand Wraps | CAUTION! ,Factory New,2592.0,★ Hand Wraps | CAUTION! ,Blue Face,2592.0
★ Moto Gloves | Spearmint ,Field-Tested,2547.93,★ Moto Gloves | Spearmint ,Field-Tested,2547.93
★ StatTrak™ Butterfly Knife | Autotronic ,Minimal Wear,2541.81,★ StatTrak™ Butterfly Knife | Autotronic ,Minimal Wear,2541.81
★ Sport Gloves | Big Game ,Factory New,2540.0,★ Sport Gloves | Big Game ,Blue Face,2540.0
★ Karambit | Gamma Doppler ,Factory New,2506.77,★ Karambit | Gamma Doppler ,Blue Face,2506.77
★ StatTrak™ Karambit | Gamma Doppler ,Factory New,2506.77,★ StatTrak™ Karambit | Gamma Doppler ,Blue Face,2506.77
★ Specialist Gloves | Crimson Kimono ,Field-Tested,2468.51,★ Specialist Gloves | Crimson Kimono ,Field-Tested,2468.51
★ StatTrak™ M9 Bayonet | Crimson Web ,Minimal Wear,2457.3,★ StatTrak™ M9 Bayonet | Crimson Web ,Minimal Wear,2457.3
★ Driver Gloves | Snow Leopard ,Minimal Wear,2424.21,★ Driver Gloves | Snow Leopard ,Minimal Wear,2424.21
★ StatTrak™ Skeleton Knife | Crimson Web ,Minimal Wear,2414.97,★ StatTrak™ Skeleton Knife | Crimson Web ,Minimal Wear,2414.97
★ Karambit | Tiger Tooth ,Factory New,2405.31,★ Karambit | Tiger Tooth ,Blue Face,2405.31
★ StatTrak™ Karambit | Tiger Tooth ,Factory New,2405.31,★ StatTrak™ Karambit | Tiger Tooth ,Blue Face,2405.31
★ StatTrak™ Karambit | Autotronic ,Minimal Wear,2347.85,★ StatTrak™ Karambit | Autotronic ,Minimal Wear,2347.85
★ Butterfly Knife | Slaughter ,Minimal Wear,2340.78,★ Butterfly Knife | Slaughter ,Minimal Wear,2340.78
★ StatTrak™ Butterfly Knife | Slaughter ,Minimal Wear,2340.78,★ StatTrak™ Butterfly Knife | Slaughter ,Minimal Wear,2340.78
★ StatTrak™ M9 Bayonet,,2339.86,★ StatTrak™ M9 Bayonet,,2339.86
★ Butterfly Knife | Autotronic ,Field-Tested,2320.49,★ Butterfly Knife | Autotronic ,Field-Tested,2320.49
★ StatTrak™ Butterfly Knife | Autotronic ,Field-Tested,2320.49,★ StatTrak™ Butterfly Knife | Autotronic ,Field-Tested,2320.49
★ M9 Bayonet | Gamma Doppler ,Factory New,2303.46,★ M9 Bayonet | Gamma Doppler ,Blue Face,2303.46
★ StatTrak™ M9 Bayonet | Gamma Doppler ,Factory New,2303.46,★ StatTrak™ M9 Bayonet | Gamma Doppler ,Blue Face,2303.46
