URL,BRAND NAME,SKU
https://www.walmart.com/browse/clothing/young-adult/5438_9055522?povid=FashionDepartment_YoungAdult,Disney,12559
https://www.walmart.com/browse/clothing/young-adult/5438_9055522?povid=FashionDepartment_YoungAdult,Nintendo,1743
https://www.walmart.com/browse/clothing/young-adult/5438_9055522?povid=FashionDepartment_YoungAdult,Ma Croix,854
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Carter's Child of Mine,120
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Little Star Organic,226
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Garanimals,50
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Modern Moments,16
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Gerber,317
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,easy-peasy,9
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Wonder Nation,43
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Hudson Baby,676
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,PatPat,656
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Disney,522
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Little Star,72
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Mickey Mouse,55
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Koala Baby,45
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,WAY TO CELEBRATE!,20
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Baby Shark,32
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Spasilk,27
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Minnie Mouse,53
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,Winnie the Pooh,14
https://www.walmart.com/browse/clothing/baby-clothing/5438_7712430_8775031?povid=FashionDepartment_BabyToddler,The Peanutshell,35
