name,website,reason
FHB Ventures,,DUPLICATES
CBRE Investment Management,https://www.cbreim.com/,DUPLICATES
CBRE Investment Management,https://www.cbreim.com/,DUPLICATES
REC Limited,https://recindia.nic.in/,DUPLICATES
REC Limited,https://recindia.nic.in/,DUPLICATES
Crevisse Partners,https://www.crevisse.com/,DUPLICATES
Crevisse Partners,https://www.crevisse.com/,DUPLICATES
Pro Partners Holding,https://www.propartnersholding.sk/,DUPLICATES
Pro Partners Holding,https://www.propartnersholding.sk/,DUPLICATES
SAVEarth Fund,https://www.savearth.org/,DUPLICATES
SAVEarth Fund,https://www.savearth.org/,DUPLICATES
Arun Gholap,,DUPLICATES
South Israel Bridging Fund,https://sibf.vc/,DUPLICATES
Clean Energy International Incubation Centre,https://ceiic.socialalpha.org/,DUPLICATES
Ã˜rsted Propel acceleration programme,https://propel.orsted.com/,DUPLICATES
Ã˜rsted Propel acceleration programme,https://propel.orsted.com/,DUPLICATES
Veligera Capital Fund,https://veligera.com/,DUPLICATES
Veligera Capital Fund,https://veligera.com/,DUPLICATES
Yozma Group Korea,https://korea.yozma.asia/en/,DUPLICATES
Yozma Group Korea,https://korea.yozma.asia/en/,DUPLICATES
Roshan Abbas,,DUPLICATES
Roshan Abbas,,DUPLICATES
Gastrotope,https://gastrotope.com/,DUPLICATES
Frontier Climate,https://frontierclimate.com/,DUPLICATES
Frontier Climate,https://frontierclimate.com/,DUPLICATES
Neil King,,DUPLICATES
Neil King,,DUPLICATES
Xcelerate,https://www.amatilxcelerate.com/,DUPLICATES
Xcelerate,https://www.amatilxcelerate.com/,DUPLICATES
Mount Meru Group,https://www.mountmerugroup.com/,DUPLICATES
Mount Meru Group,https://www.mountmerugroup.com/,DUPLICATES
Solas Capital,https://solas.capital/,DUPLICATES
Solas Capital,https://solas.capital/,DUPLICATES
5Y Capital,https://www.5ycap.com/,DUPLICATES
5Y Capital,https://www.5ycap.com/,DUPLICATES
Acronis,http://www.acronis.com/,DUPLICATES
Acronis,http://www.acronis.com/,DUPLICATES
China Venture Capital,http://www.c-vc.com.cn/,DUPLICATES
China Venture Capital,http://www.c-vc.com.cn/,DUPLICATES
Lauder Partners,https://lauderpartners.com/,DUPLICATES
Clean Energy International Incubation Centre,https://ceiic.socialalpha.org/,DUPLICATES
In-Q-Tel,https://www.iqt.org/,DUPLICATES
Jinhua Zhongche Fund,,DUPLICATES
Jinhua Zhongche Fund,,DUPLICATES
ChipTrip Technology,http://www.chiptrip.com.cn/cn,DUPLICATES
ChipTrip Technology,http://www.chiptrip.com.cn/cn,DUPLICATES
Chen Jinxia,,DUPLICATES
Chen Jinxia,,DUPLICATES
Matsuoka Tsuyoshi,,DUPLICATES
Matsuoka Tsuyoshi,,DUPLICATES
Gastrotope,https://gastrotope.com/,DUPLICATES
Sumantra Roy,,DUPLICATES
Sumantra Roy,,DUPLICATES
Arun Gholap,,DUPLICATES
EXT,,DUPLICATES
EXT,,DUPLICATES
GOAT Brand Labs,https://goatbrandlabs.com/,DUPLICATES
GOAT Brand Labs,https://goatbrandlabs.com/,DUPLICATES
South Israel Bridging Fund,https://sibf.vc/,DUPLICATES
Toyota Tsusho Corporation,https://www.toyota-tsusho.com/english/,DUPLICATES
Kreisel Ventures,,DUPLICATES
Kreisel Ventures,,DUPLICATES
Afri-Plastics Challenge,https://afri-plastics.challenges.org/,DUPLICATES
Afri-Plastics Challenge,https://afri-plastics.challenges.org/,DUPLICATES
R/GA Ventures,https://ventures.rga.com/,DUPLICATES
EVAN,,DUPLICATES
EVAN,,DUPLICATES
Hackers/Founders,https://hf.cx/,DUPLICATES
Hackers/Founders,https://hf.cx/,DUPLICATES
Fusen Noble-House,,DUPLICATES
Fusen Noble-House,,DUPLICATES
Sanjiv Rangrass,https://in.linkedin.com/in/sanjiv-rangrass-7aa2a712,DUPLICATES
Sabanci Ventures,https://ventures.sabanci.com/,DUPLICATES
Sabanci Ventures,https://ventures.sabanci.com/,DUPLICATES
Federal Government,http://psypr.com,WRONG WEBSITE
7percent Ventures,http://7pc.co/,WRONG WEBSITE
Hatzimemos / Libby,https://h-l.vc/,WRONG WEBSITE
Ocean Solutions Accelerator,https://www.soalliance.org/,WRONG WEBSITE
New York Ventures,https://esd.ny.gov/doing-business-ny/venture-capital,WRONG WEBSITE
Swedish Energy Agency,http://www.energimyndigheten.se/en,WRONG WEBSITE
European Commission,https://europa.eu/,WRONG WEBSITE
Normandie Capital Investissement,https://www.n-ci.com/,WRONG WEBSITE
Danish Business Angels,https://danban.org/,WRONG WEBSITE
Next Wave,http://theftspot.com,WRONG WEBSITE
University of Cape Town,http://www.uct.ac.za/,WRONG WEBSITE
Red Hook Capital,http://www.RedHookCapital.com,WRONG WEBSITE
London School of Hygiene & Tropical Medicine,https://www.lshtm.ac.uk/,WRONG WEBSITE
State of Friborg,https://www.fr.ch/,WRONG WEBSITE
Phitrust Partenaires,https://www.dri.fr/hosted-by,WRONG WEBSITE
New Business Venture Fund,https://nyskopun.is/,WRONG WEBSITE
INGENIUM Emilia Romagna,http://www.meta-group.com/all-meta-projects/Pages/INGENIUM-Emilia-Romagna-I-Fund.aspx,WRONG WEBSITE
London Co-Investment Fund,https://www.massatloan.org/,WRONG WEBSITE
Bonitás Ventures,https://bonitasktk.hu/,WRONG WEBSITE
Alto Invest,https://www.eiffel-ig.com/particuliers/,WRONG WEBSITE
The Welsh Government,https://gov.wales/,WRONG WEBSITE
Eleven Accelerator Venture Fund,https://www.11.me/,WRONG WEBSITE
The Angel Club,http://www.google.de/,WRONG WEBSITE
Process Automation Solutions,http://www.pa-ats.com/en,WRONG WEBSITE
Business Angel,http://www.Business-Angel.com,WRONG WEBSITE
Business Angel,http://www.Business-Angel.com,WRONG WEBSITE
MH2 Capital,https://www.matthiashilpert.com/,WRONG WEBSITE
Village Capital,https://vilcap.com/,WRONG WEBSITE
Newcastle University,https://www.ncl.ac.uk/,WRONG WEBSITE
aws Founders Fund (aws Gründerfonds),https://www.gruenderfonds.at/,WRONG WEBSITE
National Center for Research and Development,https://archiwum.ncbr.gov.pl/en/,WRONG WEBSITE
Enterprise Ventures,https://www.mercia.co.uk/,WRONG WEBSITE
Mezzanine Management,https://acp-group.eu/,WRONG WEBSITE
University of Zürich,https://www.uzh.ch/en.html,WRONG WEBSITE
ACG Management,https://www.smaltcapital.com/,WRONG WEBSITE
Inco,https://Inco-group.co/,WRONG WEBSITE
Luleå University of Technology,https://www.ltu.se/?l=en,WRONG WEBSITE
Integumen,https://www.deepverge.com,WRONG WEBSITE
Kapten,https://www.free-now.com/,WRONG WEBSITE
METRO Accelerator,https://www.xcelentrepreneurs.com/,WRONG WEBSITE
Andalusian Association of Business Angels Networks,http://aaban.org/,WRONG WEBSITE
European Bank for Reconstruction and Development,https://www.ebrd.com/home,WRONG WEBSITE
Queensbridge Venture Partners,http://qbvp.com/,WRONG WEBSITE
Andreas Schwartz,https://www.igaming.com/,WRONG WEBSITE
Polish Institute for Research and Development,http://www.pibir.pl/,WRONG WEBSITE
GreatPoint Ventures,https://www.gpv.com/,WRONG WEBSITE
Private Investor,http://www.philippmarquardt.de,WRONG WEBSITE
"Mitsubishi Heavy Industries, Ltd.",https://www.mhi.com/,WRONG WEBSITE
Vaibhav Domkundwar,https://www.linkedin.com/in/better,WRONG WEBSITE
Delaware Innovation Space,https://deinnovates.org/,WRONG WEBSITE
Andreessen Horowitz,https://a16z.com/,WRONG WEBSITE
Jesper Jarlbæk,http://jarlbaek.net/,WRONG WEBSITE
Übermorgen Ventures,https://www.uebermorgen.vc/,WRONG WEBSITE
Electrification Financing Initiative,https://www.electrifi.eu/,WRONG WEBSITE
9.5 Ventures,https://www.ninepointfive.vc/,WRONG WEBSITE
Fundación Parque Científico de Madrid,https://fpcm.es/,WRONG WEBSITE
Lightspeed Venture Partners,https://lsvp.com/,WRONG WEBSITE
The Crowd Angel,https://dozeninvestments.com/,WRONG WEBSITE
Main Sequence Ventures,https://www.mseq.vc/,WRONG WEBSITE
Doefonds Fryslân,https://www.fom.frl/,WRONG WEBSITE
United States Agency for International Development,https://usaid.gov/,WRONG WEBSITE
Gullspång Invest,https://gullspang.vc/,WRONG WEBSITE
CB Investment Management,https://www.crowdberryim.sk/,WRONG WEBSITE
Mastercard Foundation Fund for Rural Prosperity,https://frp.org/,WRONG WEBSITE
African Development Bank,https://www.afdb.org/en,WRONG WEBSITE
BTO,https://www.visinnovasjon.no,WRONG WEBSITE
RST Ventures For Earth,https://vfe.vc/,WRONG WEBSITE
Menai Science Park,http://www.m-sparc.com/,WRONG WEBSITE
Swiss Climate Foundation,https://www.klimastiftung.ch/de/,WRONG WEBSITE
Sustainable Energy Authority of Ireland,https://www.seai.ie/,WRONG WEBSITE
Investitionsbank des Landes Brandenburg,https://www.ilb.de/de/index.html,WRONG WEBSITE
MPcroissance,https://www.irdi.fr/,WRONG WEBSITE
intu Properties,https://www.ia-insolv.com/case+INTERPATH+IK624F1201.html,WRONG WEBSITE
WRVI Capital,https://celesta.vc/,WRONG WEBSITE
Motus Ventures,http://MotusVentures.com,WRONG WEBSITE
Dirk Lehmann,http://www.so-geht-es.org,WRONG WEBSITE
Mittelständische Beteiligungsgesellschaft Mecklenburg-Vorpommern Mbh,http://www.mbm-v.de,WRONG WEBSITE
VNV Global,https://www.vostoknewventures.com/,WRONG WEBSITE
Poyry Oyj,https://afry.com/en,WRONG WEBSITE
Bâloise Holding,https://www.baloise.com/de/home.html,WRONG WEBSITE
"Merck Kgaa, Darmstadt, Germany",http://www.emdgroup.com,WRONG WEBSITE
Agència per la Competitivitat de l'Empresa,http://www.accio.gencat.cat/ca/inici,WRONG WEBSITE
German Federal Ministry Of Transport And Digital Infrastructure,http://www.bmvi.de,WRONG WEBSITE
Valquest Partners,http://www.val-quest.com,WRONG WEBSITE
CM-CIC Capital Finance,https://www.creditmutuel-equity.eu/fr/index.html,WRONG WEBSITE
Luzerner Kantonalbank,https://www.lukb.ch,WRONG WEBSITE
Zhejiang Geely Holding Group,http://www.zgh.com/,WRONG WEBSITE
Danish Energy,https://www.danskenergi.dk/,WRONG WEBSITE
Arke Capital,http://www.park-vale.com,WRONG WEBSITE
Lighthouse Ventures,https://lhv.vc/,WRONG WEBSITE
Nederlandse Spoorwegen Utrecht,http://www.ns.nl/en/travellers/home,WRONG WEBSITE
Red Circle Investment,https://www.otb.net:443/,WRONG WEBSITE
CCEP Ventures,https://www.cocacolaep.com/about-us/,WRONG WEBSITE
Polish Agency for Enterprise Development,https://en.parp.gov.pl/,WRONG WEBSITE
JXTG Holdings,https://www.hd.eneos.co.jp/english/,WRONG WEBSITE
Goldcorp,http://www.newmont.com,WRONG WEBSITE
