Tracking ID,Scraper,Date,Time
PLN22/0541,Dandenong,09-03-2023,22:05:38
PLN22/0495,Dandenong,09-03-2023,22:05:52
P24729,Hume,09-03-2023,22:05:57
P24755,Hume,09-03-2023,22:05:58
P24474,Hume,09-03-2023,22:05:59
P24685,Hume,09-03-2023,22:06:00
P25044,Hume,09-03-2023,22:06:01
PLN22/0492,Dandenong,09-03-2023,22:06:03
P24297,Hume,09-03-2023,22:06:03
P24476,Hume,09-03-2023,22:06:04
P24987,Hume,09-03-2023,22:06:05
P25037,Hume,09-03-2023,22:06:07
P24981,Hume,09-03-2023,22:06:08
PLN22/0353,Dandenong,09-03-2023,22:06:11
PLN22/0081,Dandenong,09-03-2023,22:06:21
PLN22/0302,Dandenong,09-03-2023,22:06:31
PLN22/0405,Dandenong,09-03-2023,22:06:40
PLN22/0331,Dandenong,09-03-2023,22:06:59
PLN22/0358,Dandenong,09-03-2023,22:07:05
PLN22/0314,Dandenong,09-03-2023,22:07:25
PLN22/0370,Dandenong,09-03-2023,22:07:40
PLN22/0435,Dandenong,09-03-2023,22:07:57
PLN22/0089,Dandenong,09-03-2023,22:08:07
PLN22/0349,Dandenong,09-03-2023,22:08:24
PLN22/0445,Dandenong,09-03-2023,22:08:33
PLN22/0063,Dandenong,09-03-2023,22:08:56
PLN22/0446,Dandenong,09-03-2023,22:09:02
PLN21/0719,Dandenong,09-03-2023,22:09:27
PLN22/0270,Dandenong,09-03-2023,22:09:36
PLN22/0383,Dandenong,09-03-2023,22:10:03
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1111916,Knox,09-03-2023,22:10:30
PLN22/0359,Dandenong,09-03-2023,22:10:35
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1108895,Knox,09-03-2023,22:10:41
PLN22/0361,Dandenong,09-03-2023,22:10:48
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1103829,Knox,09-03-2023,22:10:50
PLN22/0172,Dandenong,09-03-2023,22:10:58
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1101038,Knox,09-03-2023,22:11:01
PLN22/0037,Dandenong,09-03-2023,22:11:11
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1095289,Knox,09-03-2023,22:11:13
PLN22/0134,Dandenong,09-03-2023,22:11:21
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1096287,Knox,09-03-2023,22:11:24
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1095983,Knox,09-03-2023,22:11:38
PLN21/0589,Dandenong,09-03-2023,22:11:44
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1091797,Knox,09-03-2023,22:11:48
PLN21/0531,Dandenong,09-03-2023,22:11:56
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1091808,Knox,09-03-2023,22:11:59
PLN21/0090,Dandenong,09-03-2023,22:12:05
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1090801,Knox,09-03-2023,22:12:14
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1088192,Knox,09-03-2023,22:12:24
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1089138,Knox,09-03-2023,22:12:42
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1084122,Knox,09-03-2023,22:13:07
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1082662,Knox,09-03-2023,22:13:22
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1079215,Knox,09-03-2023,22:13:34
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1070670,Knox,09-03-2023,22:13:44
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1067146,Knox,09-03-2023,22:13:56
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1064120,Knox,09-03-2023,22:14:09
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1061034,Knox,09-03-2023,22:15:00
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1060174,Knox,09-03-2023,22:15:17
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1042587,Knox,09-03-2023,22:15:22
https://eservices.knox.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1030240,Knox,09-03-2023,22:15:37
m_2021_645,Maroondah,09-03-2023,22:18:14
m_2021_1212,Maroondah,09-03-2023,22:18:25
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=831984,Maroondah,09-03-2023,22:19:48
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=857135,Maroondah,09-03-2023,22:20:01
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=884231,Maroondah,09-03-2023,22:20:15
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=885314,Maroondah,09-03-2023,22:20:30
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=891187,Maroondah,09-03-2023,22:20:37
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=895884,Maroondah,09-03-2023,22:20:42
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=897869,Maroondah,09-03-2023,22:20:52
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=898423,Maroondah,09-03-2023,22:20:57
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=900077,Maroondah,09-03-2023,22:21:02
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=904016,Maroondah,09-03-2023,22:21:07
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=904884,Maroondah,09-03-2023,22:21:16
