Title,Variation 1 Value,Variation 2 Name,Variation 2 Value,Variation 3 Name,Variation 3 Value,Original Price,Discounted Price,Web Link,Original Price.1,Discounted Price.1,Web Link.1,Original Price.2,Discounted Price.2,Web Link.2,Original Price.3,Discounted Price.3,Web Link.3,Original Price.4,Discounted Price.4,Web Link.4
Samsung Galaxy Buds+,White,,,,,,,https://www.amazon.ae/Samsung-SM-R175NZ-Galaxy-Buds-Blue/dp/B084MM54HC/ref=sr_1_4?crid=297609JWU4QMP&keywords=Samsung%2BGalaxy%2BBuds%2B&qid=1683288214&sprefix=samsung%2Bgalaxy%2Bbuds%2B%2Caps%2C223&sr=8-4&th=1,,,,,,,,,,,,
Samsung Galaxy Buds+,Red,,,,,,,https://www.amazon.ae/Samsung-SM-R175NZ-Galaxy-Buds-Blue/dp/B08647KXJK/ref=sr_1_4?crid=297609JWU4QMP&keywords=Samsung%2BGalaxy%2BBuds%2B&qid=1683288214&sprefix=samsung%2Bgalaxy%2Bbuds%2B%2Caps%2C223&sr=8-4&th=1,,,,,,,,,,,,
Samsung Galaxy Buds Live,Blue,,,,,265.00,,https://www.amazon.ae/Samsung-Wireless-Earbuds-Cancelling-International/dp/B08HSNG26K/ref=asc_df_B08FT3ZMF3/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=17363821086309597027&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-947710907753&th=1,579,229.3,https://www.noon.com/uae-en/galaxy-buds-live-mystic-black/N41366275A/p/?o=bc36b9beb39a1f8d,,,,,,,,,
Samsung Galaxy Buds Live,Black Onyx,,,,,265.00,,https://www.amazon.ae/Samsung-Wireless-Earbuds-Cancelling-International/dp/B08FT3ZMF3/ref=asc_df_B08FT3ZMF3/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=17363821086309597027&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-947710907753&th=1,244.95,,https://www.noon.com/uae-en/galaxy-buds-live-onyx/N53339613A/p/?o=cf6a1658d0d4c93f,,,,,,,,,
Samsung Galaxy Buds Live,Mystic White,,,,,,,,399,299,https://www.noon.com/uae-en/galaxy-buds-live-mystic-white/N42605971A/p/?o=a2d0588e4b06380c,,,,,,,,,
Samsung Galaxy Buds2,Graphite Black,,,,,225.20,213.40,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09C12HYQ1/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung+Galaxy+Buds2&qid=1679248624&sprefix=samsung+galaxy+buds2%2Caps%2C318&sr=8-5,509,210,https://www.noon.com/uae-en/galaxy-buds-2-graphite/N49995329A/p/?o=f61f473ec82ffa2d,,,,,,,,,
Samsung Galaxy Buds2,Black Onyx,,,,,,,,221.1,,https://www.noon.com/uae-en/galaxy-buds-2-black-onyx/N53356497A/p/?o=d42c3f66fc5f441b,,,,,,,,,
Samsung Galaxy Buds2,White,,,,,509.00,280.00,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09BZXGCL1/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2,Lavender Purple,,,,,264.87,224.00,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09BZXY5P8/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,224,,https://www.noon.com/uae-en/galaxy-buds-2-lavender/N49995328A/p/?o=a5d82b7b3788c02b,,,,,,,,,
Samsung Galaxy Buds2,Olive Green,,,,,509.00,252.99,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09C119MH3/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Black,Version,USA,,,382.00,355.80,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH4CN6/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Black,,UAE,,,749.00,344.29,https://www.amazon.ae/Bluetooth-Wireless-Cancelling-Charging-Resistant/dp/B0B8J28VMV/ref=asc_df_B0B8J28VMV/?tag=googleshopp09-21&linkCode=df0&hvadid=406678462028&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1790258740797&psc=1,749,386,https://www.noon.com/uae-en/galaxy-buds-2-pro-graphite/N53339188A/p/?o=f5475c1fe9af326e,,,,,,,,,
Samsung Galaxy Buds2 Pro,White,,USA,,,450.00,,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SFVRC2/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,White,,UAE,,,749.00,399.90,https://www.amazon.ae/Bluetooth-Wireless-Cancelling-Charging-Resistant/dp/B0B8J1ZMPX/ref=asc_df_B0B8J28VMV/?tag=googleshopp09-21&linkCode=df0&hvadid=406678462028&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1790258740797&th=1,749,439.25,https://www.noon.com/uae-en/galaxy-buds-2-pro-white/N53339158A/p/?o=a20106ce1fa09a3e,,,,,,,,,
Samsung Galaxy Buds2 Pro,Lavender Purple,,USA,,,464.00,409.50,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH56BZ/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Lavender Purple,,UAE,,,,,,749,419,https://www.noon.com/uae-en/galaxy-buds-2-pro-bora-purple/N53339187A/p/?o=a6c78c8ef878f77d,,,,,,,,,
Apple AirPods Max,Green,,,,,,,,2399,1999,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-green/N42919236A/p/?o=e9c2a892184ecffb,,,,,,,,,
Apple AirPods Max,Silver,,,,,,,,2399,1999,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-silver/N42919233A/p/?o=cb0f052f3bff00dd,,,,,,,,,
Apple AirPods Max,Sky Blue,,,,,"2,099.00","1,892.00",https://www.amazon.ae/New-Apple-AirPods-Max-Space/dp/B08Q4J7ZNG/ref=asc_df_B08Q4LRXCG/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=18166133044163384366&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1090120418633&th=1,2399,1999,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-sky-blue/N42919234A/p/?o=cf156c3361f91eae,,,,,,,,,
