URL,Discounted Price,Original Price,Retailer
https://www.amazon.ae/Bluetooth-Wireless-Cancelling-Charging-Resistant/dp/B0B8J1ZMPX/ref=asc_df_B0B8J28VMV/?tag=googleshopp09-21&linkCode=df0&hvadid=406678462028&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1790258740797&th=1,399.90,749.00,amazon
https://www.amazon.ae/Samsung-SM-R175NZ-Galaxy-Buds-Blue/dp/B084MM54HC/ref=sr_1_4?crid=297609JWU4QMP&keywords=Samsung%2BGalaxy%2BBuds%2B&qid=1683288214&sprefix=samsung%2Bgalaxy%2Bbuds%2B%2Caps%2C223&sr=8-4&th=1,NA,NA,amazon
https://www.amazon.ae/Apple-USB-C-Lightning-Cable-1m/dp/B09JRG6GLX/ref=sr_1_11?crid=23VH62XBUUROY&keywords=Apple+USB-C+to+Lightning+Cable&qid=1685982520&sprefix=apple+20w+usb-c+power+adapter%2Caps%2C281&sr=8-11,NA,NA,amazon
https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09BZXY5P8/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,224.00,264.87,amazon
https://www.amazon.ae/Samsung-Wireless-Earbuds-Cancelling-International/dp/B08FT3ZMF3/ref=asc_df_B08FT3ZMF3/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=17363821086309597027&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-947710907753&th=1,NA,265.00,amazon
https://www.amazon.ae/Apple-MHXH3ZE-A-MagSafe-Charger/dp/B08L85T621/ref=sr_1_5?crid=10DFF075ROYHT&keywords=Apple+MagSafe+Charger&qid=1685982466&sprefix=%2Caps%2C421&sr=8-5,NA,NA,amazon
https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH4CN6/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,355.80,382.00,amazon
https://www.amazon.ae/SAMSUNG-Wireless-Earbuds-Intelligent-Canceling/dp/B08TCD9BBS/ref=sr_1_4?crid=2PCZIWFVPQMUW&keywords=Galaxy+Buds+Pro&qid=1679248995&sprefix=%2Caps%2C367&sr=8-4,NA,NA,amazon
https://www.amazon.ae/Apple-20W-USB-C-Power-Adapter/dp/B08L85KDV5/ref=sr_1_5?crid=3SD7OQPS4I0H7&keywords=Apple+20W+USB-C+Power+Adapter&qid=1685982498&sprefix=apple+magsafe+charger%2Caps%2C281&sr=8-5,NA,NA,amazon
https://www.amazon.ae/New-Apple-AirPods-Max-Space/dp/B08Q4J7ZNG/ref=asc_df_B08Q4LRXCG/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=18166133044163384366&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1090120418633&th=1,"1,892.00","2,099.00",amazon
https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09C119MH3/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,252.99,509.00,amazon
https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SFVRC2/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,NA,450.00,amazon
https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH56BZ/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,409.50,464.00,amazon
https://www.amazon.ae/Apple-USB-C-Lightning-Cable-2m/dp/B09BTBTJF7/ref=sr_1_5?crid=23VH62XBUUROY&keywords=Apple+USB-C+to+Lightning+Cable&qid=1685982520&sprefix=apple+20w+usb-c+power+adapter%2Caps%2C281&sr=8-5,NA,76.07,amazon
