URL,Name,SKU,Description,Price,Availability,ImageURL,Variants,Color,EbayCategory
https://m.jdsports.co.uk/product/white-nike-standard-issue-hoodie/19472034/,Nike Standard Issue Hoodie,19472034,"Level up your chill-day layers with this men&#039;s Standard Issue Hoodie from Nike. Coming in a White colourway, this regular-fit hoodie is made with a soft, thick cotton-blend fleece for lasting comfort. It features an adjustable drawcord in the hood for custom coverage, and stretchy ribbed trims to secure the fit. With a kangaroo pouch up front for quick storage, it&#039;s finished up with signature Nike branding at the chest. Machine washable. | Our model is 6&#039;1&quot; with a 38&quot; chest and wears a size medium.",40,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_643882_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_643882_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_643882_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_643882_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_643882_a?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L,XL,XXL",white,
https://m.jdsports.co.uk/product/red-puma-ghana-pre-match-track-jacket/16499133/,Puma Ghana Pre Match Track Jacket,16499133,"Zip up and support your side in this men&#039;s Ghana Pre Match Track Jacket from PUMA. In a Red colourway, this standard-fit jacket is made from smooth poly fabric with PUMA&#039;s dryCELL tech to wick away sweat. It features a full zip fastening, a rubber collar and long, raglan sleeves with a tonal print. With side pockets, this jacket is finished up with PUMA branding and the iconic Ghana crest. Machine washable. | Our model is 5&#039;11&quot; with a 38&quot; chest and wears a size medium.",20,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_527684_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_527684_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_527684_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_527684_d?qlt=92&w=600&h=765&v=1&fmt=auto",S,red,
https://m.jdsports.co.uk/product/white-nike-air-max-90/17991651/,Nike Air Max 90,17991651,"Upgrade your sneaks with these men&#039;s Air Max 90 trainers from Nike. Exclusive to JD, these kicks land in a Diffused Blue, Obsidian and White colourway and have an upper crafted from a breathable mesh with stitched overlays and OG design lines. They feature a lace fastening to lock you in and a low-cut padded ankle collar for plush comfort. Underfoot is a foam midsole that uses Nike Air cushioning combined with a visible Air unit to the heel for an ultra-responsive ride. With a rubber Waffle outsole for total traction, they&#039;re finished up with the Swoosh to the sidewalls.",100,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_620012_c?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_620012_d?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_620012_f?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_620012_a?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_620012_e?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_620012_b?qlt=92&w=600&h=425&v=1&fmt=auto","6,7,12",white,
https://m.jdsports.co.uk/product/white-vans-denim-torrey/19281058/,Vans DENIM TORREY,19281058,Product DetailsOuter Material: 100% Cotton,68,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_VN0007WN7W61_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0007WN7W61_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0007WN7W61_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0007WN7W61_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0007WN7W61_e?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L,XL,XXL",white,
https://m.jdsports.co.uk/product/blue-the-north-face-glacier-t-shirt/19432858/,The North Face Glacier T-Shirt,19432858,"Keep cool and comfy in this men&#039;s Glacier T-Shirt from The North Face. In a Blue colourway, this regular-fit tee is made from lightweight poly fabric with added stretch so you can move with ease. It features short sleeves and a classic crew neckline. With TNF&#039;s FlashDry tech to wick away sweat and keep you cool, this T-shirt is finished up with signature TNF branding to the chest and reverse shoulder. Machine washable.",30,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_611599_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611599_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611599_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611599_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611599_c?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L,XL,XXL",blue,
https://m.jdsports.co.uk/product/grey-mckenzie-arrow-gilet/19273770/,McKenzie Arrow Gilet,19273770,"Layer up and stay active in this men&#039;s Arrow Gilet from McKenzie. In a Castlerock colourway, this JD-exclusive gilet is cut from durable poly fabric, with a recycled synthetic fill for lightweight warmth. It has a full zip closure and mock collar to the front, as well as elasticated trims to keep in your heat. Finished off with a zippered utility pocket and signature McKenzie branding to the chest. Machine washable. | Our model is 6&#039;0&quot; with a 38&quot; chest and wears a size medium.",20,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_630794_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_630794_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_630794_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_630794_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_630794_e?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L,XL,XXL",grey,
https://m.jdsports.co.uk/product/white-vans-sk8-hi/16602138/,Vans Sk8-Hi,16602138,Product DetailsUpper Material: Leather,43,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_b?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_c?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_e?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_a?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_d?qlt=92&w=600&h=425&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0A4BVTR2S1_f?qlt=92&w=600&h=425&v=1&fmt=auto","2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8",white,
https://m.jdsports.co.uk/product/grey-supply-and-demand-tagged-hoodie/18463000/,Supply &amp; Demand Tagged Hoodie,18463000,"Upgrade your layers with this men&#039;s Tagged Hoodie from Supply &amp; Demand. Exclusive to JD, this standard-fit hoodie is made from soft cotton-blend fleece in a Grey colourway. It has an overhead design and features an adjustable hood and a central kangaroo pocket up front to stash your stuff. With stretchy ribbed trims to secure the fit, this hoodie finished up with a Supply &amp; Demand logo graphic stamped to the chest. Machine washable. | Our model is 6&#039;1&quot; with a 39&quot; chest and wears a size medium.",25,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_649325_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_649325_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_649325_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_649325_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_649325_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_649325_c?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L,XL,XXL",grey,
https://m.jdsports.co.uk/product/brown-nike-foundation-hoodie/17101306/,Nike Foundation Hoodie,17101306,"Kick back in a classic staple with this men&#039;s Foundation Hoodie from Nike. In an Earth colourway, this regular-fit pullover is made from soft yet durable brushed-back fleece fabric for elevated comfort. It features a drawcord-adjustable hood for custom coverage, ribbed trims for support and a kangaroo pocket for your essentials. Finished off with White Nike Futura branding embroidered to the chest. Machine washable. | Our model is 5&#039;11&quot; with a 38&quot; chest and wears a size medium.",40,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_619772_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_619772_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_619772_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_619772_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_619772_d?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L",brown,
https://m.jdsports.co.uk/product/black-the-north-face-outdoor-hybrid-track-pants/19317473/,The North Face Outdoor Hybrid Track Pants,19317473,"From the street to a hike, rep slick style from The North Face with these men&#039;s Outdoor Hybrid Track Pants. Coming in a Black colourway, these track pants are cut from a light and durable poly fabric that has a smooth feel for lasting comfort. They feature an elasticated waistband to keep you feeling supported and have elastic cuffs that let you showcase your sneaks. With zippered pockets for stashing your essentials, they&#039;re finished with TNF branding to the thigh. Machine washable. | Our model is 6&#039;2&quot; and wears a size medium.",60,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_611578_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611578_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611578_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611578_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611578_d?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L",black,
https://m.jdsports.co.uk/product/black-vans-coastal-loose-tapered-nylon-pant/16712286/,Vans COASTAL LOOSE TAPERED NYLON PANT,16712286,"Product DetailsOuter Material: 90% Polyester, 10% Elastane",35,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_VN0005Z4BLK1_d?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M",black,
https://m.jdsports.co.uk/product/red-nike-nba-chicago-bulls-showtime-full-zip-jacket/17101363/,Nike NBA Chicago Bulls Showtime Full Zip Jacket,17101363,"Layer up like your fave pro with this men&#039;s NBA Chicago Bulls Showtime Full Zip Jacket from Nike. In a Team Crimson colourway, this standard fit jacket is cut from smooth, stretchy poly fabric for a comfy feel. It features a full-zip fastening for custom coverage and is equipped with Dri-FIT tech for wicking away sweat. It has zippered side vents for adjustable airflow, with side pockets for your essentials. Finished up with a Swoosh and Bulls branding to the chest. Machine washable | Our model is 5&#039;11&quot; with a 38&quot; chest and wears a size medium.",70,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_611812_f?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_g?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_611812_h?qlt=92&w=600&h=765&v=1&fmt=auto","S,M,L,XL",red,
https://m.jdsports.co.uk/product/black-mckenzie-tread-full-zip-hoodie/17342337/,McKenzie Tread Full Zip Hoodie,17342337,"Add an extra layer to this season&#039;s style with this men&#039;s Tread Full Zip Hoodie from McKenzie. In a White, Black and Grey colour block design, this tapered hoodie has a full zip fastening, a raised neckline and a drawcord-adjustable hood for custom coverage. Featuring ribbed trims to keep your heat in, it&#039;s made from stretchy poly fabric for a streamlined feel. Finished off with zippered side pockets and the signature McKenzie branding to the chest. Machine washable. | Our model is 6&#039;2&quot; with a 37&quot; chest and wears a size medium.",20,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_608078_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_608078_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_608078_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_608078_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_608078_e?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,L,XL,XXL,XXXL,XXXXL",black,
https://m.jdsports.co.uk/product/green-adidas-celtic-fc-training-polo-shirt/16507846/,adidas Celtic FC Training Polo Shirt,16507846,"Back the Bhoys on the pitch in this men&#039;s Celtic FC Training Polo Shirt from adidas. In a Green Oxide colourway, this regular-fit polo is cut from a smooth, durable blend of cotton and recycled poly. Crafted with sweat-wicking AEROREADY tech, it features a spread collar and short sleeves for a classic look, and is finished up with signature adidas branding throughout. Signed off with the iconic Celtic FC crest to the chest. Machine washable.|HA5427",20,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_528249_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_528249_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_528249_b?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_528249_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_528249_e?qlt=92&w=600&h=765&v=1&fmt=auto","XS,S,M,XXL,XXXL",green,
https://m.jdsports.co.uk/product/blue-under-armour-lock-up-jacket/16561193/,Under Armour Lock Up Jacket,16561193,"From outdoor training to city links, layer up in this men&#039;s Lock Up Jacket from Under Armour. Exclusive to JD, this standard-fit jacket is made with smooth, durable poly fabric for lightweight, lasting wear. In a Navy colourway, it features a full-zip closure and an adjustable drawcord hood for custom coverage. It has stretchy elasticated trims to secure the fit, with front pockets to store the essentials. Finished up with signature Under Armour branding at the chest. Machine washable. | Our model is 6&#039;0&quot; with a 38.5&quot; chest and wears a size medium.",40,http://schema.org/InStock,"https://i8.amplience.net/i/jpl/jd_552266_e?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_552266_a?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_552266_c?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_552266_d?qlt=92&w=600&h=765&v=1&fmt=auto,https://i8.amplience.net/i/jpl/jd_552266_b?qlt=92&w=600&h=765&v=1&fmt=auto","M,L",blue,
