Title,Variation 1 Value,Variation 2 Name,Variation 2 Value,Variation 3 Name,Variation 3 Value,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link
Samsung Galaxy Buds Live,Blue,,,,,,,https://www.amazon.ae/Samsung-Wireless-Earbuds-Cancelling-International/dp/B08HSNG26K/ref=asc_df_B08FT3ZMF3/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=17363821086309597027&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-947710907753&th=1,,,https://www.noon.com/uae-en/galaxy-buds-live-mystic-black/N41366275A/p/?o=bc36b9beb39a1f8d,,,,,,,,,
Samsung Galaxy Buds Live,Black Onyx,,,,,,,https://www.amazon.ae/Samsung-Wireless-Earbuds-Cancelling-International/dp/B08FT3ZMF3/ref=asc_df_B08FT3ZMF3/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=17363821086309597027&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-947710907753&th=1,,,https://www.noon.com/uae-en/galaxy-buds-live-onyx/N53339613A/p/?o=cf6a1658d0d4c93f,,,,,,,,,
Samsung Galaxy Buds Live,Mystic White,,,,,,,,,,https://www.noon.com/uae-en/galaxy-buds-live-mystic-white/N42605971A/p/?o=a2d0588e4b06380c,,,,,,,,,
Samsung Galaxy Buds2,Graphite Black,,,,,,,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09C12HYQ1/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung+Galaxy+Buds2&qid=1679248624&sprefix=samsung+galaxy+buds2%2Caps%2C318&sr=8-5,,,https://www.noon.com/uae-en/galaxy-buds-2-graphite/N49995329A/p/?o=f61f473ec82ffa2d,,,,,,,,,
Samsung Galaxy Buds2,Black Onyx,,,,,,,,,,https://www.noon.com/uae-en/galaxy-buds-2-black-onyx/N53356497A/p/?o=d42c3f66fc5f441b,,,,,,,,,
Samsung Galaxy Buds2,White,,,,,,,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09BZXGCL1/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2,Lavender Purple,,,,,,,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09BZXY5P8/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,,,https://www.noon.com/uae-en/galaxy-buds-2-lavender/N49995328A/p/?o=a5d82b7b3788c02b,,,,,,,,,
Samsung Galaxy Buds2,Olive Green,,,,,,,https://www.amazon.ae/SAMSUNG-SM-R177NZKAMEA-Samsung-Galaxy-Buds/dp/B09C119MH3/ref=sr_1_5?crid=364RLWV08FDQV&keywords=Samsung%2BGalaxy%2BBuds2&qid=1679248624&sprefix=samsung%2Bgalaxy%2Bbuds2%2Caps%2C318&sr=8-5&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Black,Version,USA,,,,,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH4CN6/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Black,,UAE,,,,,https://www.amazon.ae/Bluetooth-Wireless-Cancelling-Charging-Resistant/dp/B0B8J28VMV/ref=asc_df_B0B8J28VMV/?tag=googleshopp09-21&linkCode=df0&hvadid=406678462028&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1790258740797&psc=1,,,https://www.noon.com/uae-en/galaxy-buds-2-pro-graphite/N53339188A/p/?o=f5475c1fe9af326e,,,,,,,,,
