URL,TEXT
https://www.walgreens.com/store/c/productlist/N=308564/1/Brands=yes,Alfred Dunhill
https://www.walgreens.com/store/c/productlist/N=515534/1/Brands=yes,Align
https://www.walgreens.com/store/c/productlist/N=9000155000/1/Brands=yes,Alikay Naturals
https://www.walgreens.com/store/c/productlist/N=354232/1/Brands=yes,Alive!
https://www.walgreens.com/store/c/productlist/N=521852/1/Brands=yes,AliveCor
https://www.walgreens.com/store/c/productlist/N=419/1/Brands=yes,Alka-Seltzer
https://www.walgreens.com/store/c/productlist/N=363144/1/Brands=yes,Alkalol
https://www.walgreens.com/store/c/productlist/N=9000148665/1/Brands=yes,all
https://www.walgreens.com/store/c/productlist/N=520713/1/Brands=yes,All Star Products
https://www.walgreens.com/store/c/productlist/N=900051360/1/Brands=yes,All Things Equal
https://www.walgreens.com/store/c/productlist/N=357516/1/Brands=yes,Allegra
https://www.walgreens.com/store/c/productlist/N=359024/1/Brands=yes,Allegro
https://www.walgreens.com/store/c/productlist/N=1251/1/Brands=yes,Allergan
https://www.walgreens.com/store/c/productlist/N=366797/1/Brands=yes,Alli
https://www.walgreens.com/store/c/productlist/N=374002/1/Brands=yes,Almased
https://www.walgreens.com/store/c/productlist/N=73/1/Brands=yes,Almay
https://www.walgreens.com/store/c/productlist/N=352030/1/Brands=yes,Almond Joy
https://www.walgreens.com/store/c/productlist/N=352163/1/Brands=yes,Almond Roca
https://www.walgreens.com/store/c/productlist/N=377299/1/Brands=yes,Alocane
https://www.walgreens.com/store/c/productlist/N=366530/1/Brands=yes,Aloe Cadabra
https://www.walgreens.com/store/c/productlist/N=369461/1/Brands=yes,AloeSense
https://www.walgreens.com/store/c/productlist/N=1766/1/Brands=yes,Alophen
https://www.walgreens.com/store/c/productlist/N=304611/1/Brands=yes,Alpha Betic
https://www.walgreens.com/store/c/productlist/N=519312/1/Brands=yes,Alpha Skin Care
https://www.walgreens.com/store/c/productlist/N=7/1/Brands=yes,Alpo
https://www.walgreens.com/store/c/productlist/N=307468/1/Brands=yes,Altec Lansing
https://www.walgreens.com/store/c/productlist/N=9000149464/1/Brands=yes,Alteril
https://www.walgreens.com/store/c/productlist/N=305899/1/Brands=yes,Altoids
https://www.walgreens.com/store/c/productlist/N=656/1/Brands=yes,Always
https://www.walgreens.com/store/c/productlist/N=407377/1/Brands=yes,Always Discreet
https://www.walgreens.com/store/c/productlist/N=2562/1/Brands=yes,Alyssa Ashley
https://www.walgreens.com/store/c/productlist/N=439815/1/Brands=yes,Amazing Grass
https://www.walgreens.com/store/c/productlist/N=9000149808/1/Brands=yes,Amazon
https://www.walgreens.com/store/c/productlist/N=377811/1/Brands=yes,Amazon.com
https://www.walgreens.com/store/c/productlist/N=372632/1/Brands=yes,Amberen
https://www.walgreens.com/store/c/productlist/N=1042/1/Brands=yes,Ambi
https://www.walgreens.com/store/c/productlist/N=380355/1/Brands=yes,AMC Theaters
https://www.walgreens.com/store/c/productlist/N=352592/1/Brands=yes,Ameda
https://www.walgreens.com/store/c/productlist/N=370218/1/Brands=yes,Americaine
https://www.walgreens.com/store/c/productlist/N=3339/1/Brands=yes,American Crew
https://www.walgreens.com/store/c/productlist/N=376863/1/Brands=yes,American Eagle
https://www.walgreens.com/store/c/productlist/N=351248/1/Brands=yes,American Express
https://www.walgreens.com/store/c/productlist/N=366503/1/Brands=yes,American Foods
https://www.walgreens.com/store/c/productlist/N=375019/1/Brands=yes,American Licorice
https://www.walgreens.com/store/c/productlist/N=374047/1/Brands=yes,American Weigh Scales
https://www.walgreens.com/store/c/productlist/N=364315/1/Brands=yes,AMG
