id,name,website,country_id,city,logo,type,crunchbase_url,dealroom_url,partner_investor_section,edited_date,linkedin_url
42,TechQuartier,https://techquartier.com/,80,,https://res.cloudinary.com/eutop-1/image/upload/v1623085216/Investors/lwdtf2m5agr9x5hxqe3g.jpg,Accelerator,,https://app.dealroom.co/companies/techquartier,0,2021-06-07 17:40:47.730000
44,Creative Destruction Lab (CDL),https://www.creativedestructionlab.com/,38,Old Toronto,https://res.cloudinary.com/eutopia-2/image/upload/v1649889940/Investors/djvf8p0ssa18ctkfbyot.png,"Entrepreneurship Program, University Program",https://www.crunchbase.com/organization/creative-destruction-lab,https://app.dealroom.co/investors/creative_destruction_lab,0,2021-06-07 18:03:43.787000
45,NXT Ventures,https://nxtventures.com/,226,,https://res.cloudinary.com/eutopia-2/image/upload/v1649147826/Investors/pmcv2nfgogysjb7jnhpl.png,Venture Capital,https://www.crunchbase.com/organization/nxt-ventures,https://app.dealroom.co/investors/nxt_ventures,0,2021-06-07 18:43:04.247000
46,WAVE Equity Partners,https://waveep.com/,226,Boston,https://res.cloudinary.com/eutopia-2/image/upload/v1649147826/Investors/e8pdud9nepwakypt8dvs.png,Private Equity Firm,https://www.crunchbase.com/organization/wave-equity-partners,https://app.dealroom.co/investors/wave_equity_partners,0,2021-06-07 18:43:04.247000
48,Bridges Israel,http://www.bridgesisrael.com,104,Glil Yam,https://res.cloudinary.com/eutopia-2/image/upload/v1636893072/Investors/pp7gkyjizngzn5wwyoda.jpg,Venture Capital,https://www.crunchbase.com/organization/bridges-israel,https://app.dealroom.co/investors/bridges_israel,0,2021-06-07 18:59:59.820000
51,Seppic,http://www.seppic.com,73,La Garenne-Colombes,https://res.cloudinary.com/eutopia-2/image/upload/v1636893082/Investors/i8m3qykccvtjqiuctgc0.jpg,,https://www.crunchbase.com/organization/seppic,,0,2021-06-07 19:15:48.593000
52,Keiretsu Forum,https://www.keiretsuforum.com/,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623089970/Investors/lif4gymma9pgjdziaggx.png,Venture capital,https://www.crunchbase.com/organization/the-forum-corporation,https://app.dealroom.co/investors/keiretsu_forum,0,2021-06-07 19:15:48.593000
53,EASME - EU Executive Agency for SMEs,https://wayback.archive-it.org/12090/20210412123959/https://ec.europa.eu/easme/en/,21,City of Brussels,https://res.cloudinary.com/eutopia-2/image/upload/v1649136266/Investors/jioery2ay31yncaipgiu.jpg,,https://www.crunchbase.com/organization/easme,,0,2021-06-08 08:39:48.707000
55,BASF Venture Capital GmbH,https://www.basf.com/global/de/who-we-are/organization/group-companies/BASF_Venture-Capital.html,80,Ludwigshafen am Rhein,https://res.cloudinary.com/eutop-1/image/upload/v1623138690/Investors/swvyd73xdabyg9b7s48z.png,Corporate Venture Fund,,https://app.dealroom.co/investors/basf_venture_capital_gmbh,0,2021-06-08 08:47:19.467000
56,Cr�dit Agricole,https://www.credit-agricole.com/,73,,https://res.cloudinary.com/eutopia-2/image/upload/v1648424502/Investors/aeipafatssuhgq86znji.png,,https://www.crunchbase.com/organization/credit-agricole,https://app.dealroom.co/companies/credit_agricole,0,2021-06-08 08:47:19.467000
57,BNP Paribas D�veloppement,https://www.bnpparibasdeveloppement.com/,73,Paris,https://res.cloudinary.com/eutop-1/image/upload/v1623138703/Investors/wyoulco1dqqztuxeax66.jpg,Corporate Venture Fund,https://www.crunchbase.com/organization/bnp-paribas-developpement,https://app.dealroom.co/investors/bnp_paribas_d_veloppement,0,2021-06-08 08:47:19.467000
58,Bpifrance,https://www.bpifrance.fr/,73,,https://res.cloudinary.com/eutopia-2/image/upload/v1648083295/Investors/weagwkatn1gjco12x2sp.png,Venture capital,https://www.crunchbase.com/organization/bpifrance,https://app.dealroom.co/investors/bpifrance,0,2021-06-08 08:47:19.467000
59,Mitsubishi Chemical Holdings Group,https://www.mitsubishichem-hd.co.jp/english/,107,Tokyo,https://res.cloudinary.com/eutop-1/image/upload/v1623138719/Investors/hli32dvq3scaiox1sgli.png,,,https://app.dealroom.co/companies/mitsubishi_chemical_holdings,0,2021-06-08 08:47:19.467000
62,Hatzimemos / Libby,https://h-l.vc/,226,New York,https://res.cloudinary.com/eutopia-2/image/upload/v1649292068/Investors/ozfnwsqvthrtirag5yrf.png,Venture Capital,https://www.crunchbase.com/organization/hatzimemos-libby,https://app.dealroom.co/investors/hatzimemos_libby,0,2021-06-08 08:55:47.520000
65,For Good Ventures,https://forgoodventures.com/,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623142388/Investors/fohrvse1kiseicyvsb8e.jpg,Venture capital,,https://app.dealroom.co/companies/for_good_ventures,0,2021-06-08 09:49:58.960000
